panel_id,week,tg,ii,age,income,education,gender,t_kakao_talk,t_anipang,t_kakao_story,t_kakao_game,n_kakao_game,t_non_kakao_game,n_non_kakao_game,t_non_kakao_story,n_non_kakao_story,t_non_kakao_talk,n_non_kakao_talk,t_non_kakao,n_non_kakao
12000,2,0,0,2,2,4,Female,36305,0,3325,0,0,0,0,18914,3,4848,2,72302,37
1201,1,0,0,3,2,4,Male,6404,0,0,0,0,28671,3,0,0,2464,2,81892,30
1201,2,0,0,3,2,4,Male,2232,0,0,0,0,36056,4,1107,1,3449,2,84917,30
12046,1,0,0,3,2,4,Female,596,0,140,0,0,10,1,0,0,20398,5,134877,28
12046,2,0,0,3,2,4,Female,944,0,482,0,0,0,0,0,0,21120,5,83650,29
12116,1,0,0,4,2,4,Male,8911,0,1106,0,0,0,0,937,2,9316,5,57882,33
12116,2,0,0,4,2,4,Male,4191,0,0,0,0,0,0,0,0,3326,3,44237,25
12122,1,0,0,2,4,3,Male,57060,0,0,0,0,0,0,23488,1,1524,3,36657,27
12122,2,0,0,2,4,3,Male,22985,0,0,0,0,0,0,40899,1,25783,2,77840,29
12156,1,0,0,5,4,4,Male,3247,0,0,0,0,0,0,0,0,1032,1,8617,14
12156,2,0,0,5,4,4,Male,1095,0,0,0,0,0,0,0,0,2791,1,25630,7
12170,1,0,0,1,4,1,Female,8577,0,846,0,0,10866,2,0,0,4099,2,180738,27
12170,2,0,0,1,4,1,Female,1485,0,867,0,0,10699,7,153,1,1256,3,120943,33
12236,1,0,0,3,4,4,Male,1864,0,595,0,0,0,0,0,0,3734,2,63482,18
12236,2,0,0,3,4,4,Male,8253,0,520,0,0,306,1,0,0,1418,2,25082,20
12270,1,0,0,2,2,2,Male,22908,0,1819,0,0,34179,2,391,1,661,1,72319,21
12270,2,0,0,2,2,2,Male,11394,0,3765,0,0,26498,2,244,2,1605,1,48791,26
12300,1,0,0,3,4,3,Male,1470,0,1882,0,0,0,0,3,1,1075,2,10520,16
12300,2,0,0,3,4,3,Male,2298,0,2040,0,0,0,0,4,1,1329,3,10302,26
12302,1,0,0,4,3,4,Male,521,0,0,0,0,19040,11,0,0,640,1,30946,35
12302,2,0,0,4,3,4,Male,649,0,0,0,0,4173,5,0,0,286,1,23209,27
12333,1,0,0,3,2,3,Male,5205,0,24,0,0,4683,3,0,0,2002,1,16632,14
